OR,OT
"CITY ORDINANCE NO. 32, S-1999","AN ORDINANCE AMENDING SECTION 1, ARTICLE 3 OF CITY ORDINANCE NO. 17, S-1998 “ AN ORDINANCE ESTABLISHING AND REGULATING A NIGHT MARKET IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 20, S-1999",“AN ORDINANCE GRANTING BURIAL AND FINANCIAL ASSISTANCE TO THE BEREAVED FAMILIES OF DECEASED BARANGAY OFFICIALS OF TAGUM CITY AND PROVIDING REGULATIONS FOR THE IMPLEMENTATION THEREOF.
"CITY ORDINANCE NO. 25, S-1999","“ AN ORDINANCE AMENDING SECTION 14 OF CITY ORDINANCE NO. 41, S-1998, “AN ORDINANCE REGULATING THE GARBAGE COLLECTION CONTROL AND DISPOSAL SYSTEM AND PRESCRIBING FEES THEREON.”"
"CITY ORDINANCE NO. 24, S-1999","“AN ORDINANCE CREATING THE POSITION OF CITY VETERINARIAN AND PROVIDING FOR ITS DUTIES, FUNCTIONS AND PROVIDING FUNDS THEREOF.”"
"CITY ORDINANCE NO. 21, S-1999","AN ORDINANCE CREATING THE CITY PROSECUTION OFFICE SUPPORT STAFF OF THE CITY GOVERNMENT OF TAGUM (LOCAL GOVERNMENT COUNTERPART), PROVIDING ITS COMPOSITION, SALARY GRADES, JOB DESCRIPTIONS."
CITY ORDINANCE NO. 12 s- 1999,“AN ORDINANCE ADOPTING AND INTEGRATING THE CULTURAL COMMUNITIES EDUCATION UNDER THE NON FORMAL EDUCATION PROGRAM OF THE CITY OF TAGUM AND FOR OTHER PURPOSES.”
"CITY ORDINANCE NO. 17,S-1999","“AN ORDINANCE ESTABLISHING THE CITY EDUCATIONAL SCHOLARSHIP PROGRAM (CESPRO) OF THE CITY OF TAGUM, PROVINCE OF DAVAO Del NORTE FOR POOR BUT DESERVING STUDENTS AND PROVIDING REGULATIONS FOR THE IMPLEMENTATION THEREOF.”"
"CITY ORDINANCE NO. 15, S-1999","AN ORDINANCE CREATING THE CITY TOURISM OPERATIONS OFFICE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/SALARY GRADE, DUTIES AND RESPONSIBILITIES AND APPROPRIATING FUNDS FOR THE PURPOSE."
"CITY ORDINANCE NO. 16, S-1999","AN ORDINANCE AMENDING THE TITLE OF CITY ORDINANCE NO. 05, S-1999, PARTICULARLY THE POSITION OF COMMUNITY AFFAIRS ASSISTANT 11 INTO COMMUNITY DEVELOPMENT ASSISTANT 1 AND OTHER SECTIONS RELATIVE THERETO."
"CITY ORDINANCE NO. 07, S-1999","“ AN ORDINANCE CREATING THE POSITION OF ADMINISTRATIVE OFFICER III UNDER THE OFFICE OF THE CITY VICE MAYOR AND PROVIDING FOR ITS FUNCTIONS, DUTIES AND RESPONSIBILITIES."
"CITY ORDINANCE NO. 35, S-1998",AN ORDINANCE CREATING THE CITY TOURISM COUNCIL AND PROVIDING ITS COMPOSITION AND FUNCTIONS THEREOF.
"CITY ORDINANCE NO. 10, s-1999","“AN ORDINANCE CREATING THE POSITIONS OF: (1) RECORDS OFFICER III; (1) LEGISLATIVE STAFF OFFICER II; (2) CLERK III & (1) BOOKBINDER II, ALL UNDER THE SECRETARIAT SERVICES OF THE SANGGUNIANG PANLUNGSOD, AND PROVIDING FOR THE QUALIFICATIONS, COMPENSATIONS, DUTIES AND RESPONSIBILITIES AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 03, s–1999","“AN ORDINANCE CREATING THE OFFICE OF THE ECONOMIC ENTERPRISE OF THE CITY GOVERNMENT OF TAGUM, PROVIDING ITS COMPOSITION/ POSITIONS, SALARY GRADES, JOB DESCRIPTIONS, AND FOR OTHER PURPOSES.”"
"CITY ORDINANCE NO. 09, s-1999",“AN ORDINANCE CREATING THE CITY GENDER AND DEVELOPMENT (GAD) COORDINATING COUNCIL IN THE CITY OF TAGUM AND APPROPRIATING FUNDS THEREOF”.
"CITY ORDINANCE NO. 38, S-1998","“ AN ORDINANCE RECLASSIFYING A PORTION OF T-26275 WITH LOT NO. 4342-B (LRC) PSD-224858 COMPRISING AN AREA OF 2.7 HECTARES SITUATED AT BARANGAY CANOCOTAN, TAGUM CITY FOR USE OF PRYCE GASES REFILLING PLANT OF LIQUEFIED PETROLEUM FROM AGRICULTURAL TO MINOR/LIGHT INDUSTRIAL ZONE.”"
"CITY ORDINANCE NO. 08, s-1999","“AN ORDINANCE APPROVING THE NEW SCHEDULE OF MARKET VALUES OF REAL PROPERTIES IN THE CITY OF TAGUM INCLUDING THE ASSESSMENT LEVELS AS PROVIDED FOR UNDER SECTION NO. 218 OF REPUBLIC ACT 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991”."
"CITY ORDINANCE 05, S-1999","“AN ORDINANCE CREATING THE POSITION OF COMMUNITY AFFAIRS ASSISTANT II TO BE ASSIGNED AT THE OFFICE OF THE CITY LOCAL GOVERNMENT OPERATIONS OFFICER, ANDPROVIDING FOR ITS DUTIES AND FUNCTIONS”."
"CITY ORDINANCE NO. 41, s-1998","“AN ORDINANCE REGULATING THE GARBAGE COLLECTION, CONTROL AND DISPOSAL SYSTEM AND PRESCRIBING FEES THEREON”."
"CITY ORDINANCE NO. 02, S-1999",“AN ORDINANCE PROVIDING GUIDELINES FOR THE INCREASE OF MONTHLY HONORARIUM OF DAY CARE WORKERS IN THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 37, S-1998","“ AN ORDINANCE GRANTING ADDITIONAL ALLOWANCE OF THREE THOUSAND (P3, 000.00) PESOS MONTHLY TO EACH OF THE SEVEN (7) CITY & ASSISTANT PROSECUTORS OF THE CITY OF TAGUM, SUBJECT TO THE USUAL ACCOUNTING & AUDITING RULES AND PROCEDURES AS PROVIDED FOR BY LAW”."
"CITY ORDINANCE NO. 44, S-1998","“ AN ORDINANCE AMENDING SECTION 1 OF MUNICIPAL ORDINANCE NO. 77, S-1993, AN ORDINANCE IMPOSING ADDITIONAL FEES FOR MEDICAL CERTIFICATE, MEDICAL-LEGAL LABORATORY, AND DENTAL FEES UNDER CITY HEALTH UNIT I AND II.’"
"CITY ORDINANCE NO. 22, S-1998","“ AN ORDINANCE AMENDING CERTAIN SECTIONS OF MUN. ORD. NO. 04, S-1997 OTHERWISE KNOWN AS “ AN ORDINANCE ENACTING THE TAGUM LIVESTOCK AUCTION CENTER (TLAC) MANAGEMENT OPERATIONS MANUAL.”"
"CITY ORDINANCE NO. 40, s-1998","“AN ORDINANCE RECLASSIFYING LOT NO. 693, CAD 276 COVERED BY TCT NO. T-34314 CONSISTING OF AN AREA OF FORTY ONE THOUSAND SIX HUNDRED SEVENTY SIX (41,676) SQUARE METERS LOCATED AT BARANGAY MADAUM, TAGUM CITY REGISTERED UNDER JFM DEVELOPMENT CORPORATION, FROM AGRICULTURAL TO RESIDENTIAL ZONE”."
"CITY ORDINANCE NO. 39, s-1998","“AN ORDINANCE RECLASSIFYING LOT NO. 2704 COVERED BY TCT NO. P-12223 CONSISTING OF AN AREA OF SIXTY THOUSAND ONE HUNDRED EIGHTY TWO (60,182) SQUARE METERS LOCATED AT BARANGAY MADAUM, TAGUM CITY OWNED BY ATTY. JESUS V. AYALA, FROM AGRICULTURAL TO RESIDENTIAL ZONE”."
"CITY ORDINANCE NO. 30, s-1998",“AN ORDINANCE REQUIRING CERTAIN ESTABLISHMENTS TO PLACE THE SIGNBOARD “OFF LIMITS TO MINORS” AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF”.
"CITY ORDINANCE NO. 28, s-1998","“AN ORDINANCE AMENDING CERTAIN SECTIONS OF MUNICIPAL ORDINANCE NO. 25, s-1996, “AN ORDINANCE PROVIDING POLICIES, RULES AND REGULATIONS TO GOVERN THE TRANSFER, OPERATION, ADMINISTRATION AND MANAGEMENT OF THE NEW TAGUM PUBLIC MARKET AT SITIO STO. NIÑO, MAGUGPO WEST, TAGUM CITY, DAVAO DEL NORTE”."
"CITY ORDINANCE NO. 36, S-1998",“AN ORDINANCE CREATING THE LOCAL PRICE COORDINATING COUNCIL OF THE CITY OF TAGUM UNDER THE OFFICE OF THE MAYOR AND APPROPRIATING FUNDS THEREFORE”.
"CITY ORDINANCE NO. 25, S-1998",“ AN ORDINANCE CREATING THE CITY HISTORICAL AND CULTURAL COMMISSION IN THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 27, s-1998","“AN ORDINANCE ADOPTING THE REVISED CITY EDUCATIONAL FINANCIAL ASSISTANCE PROGRAM (CEFAP) OF THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE TO FINANCE THE STUDIES/EDUCATION OF POOR BUT DESERVING STUDENTS AND PROVIDING REGULATIONS FOR THE IMPLEMENTATION THEREOF.”"
"CITY ORDINANCE 11, S-1998","“AN ORDINANCE REQUIRING ALL PUB, PUJ, AND MCH OPERATORS/DRIVERS TO PROVIDE THEIR RESPECTIVE VEHICLES WITH GARBAGE AND WASTE PROVIDING PENALTIES FOR VIOLATION THEREOF.”"
"CITY ORDINANCE NO. 26, S-1998","AN ORDINANCE DECLARING MARCH 07 AS THE ARAW NG TAGUM CITY, PURSUANT TO RA 8472."
"CITY ORDINANCE NO. 13, S-1998","“AN ORDINANCE RECLASSIFYING AN AREA SITUATED AT BARANGAY APOKON, TAGUM CITY, PROVINCE OF DAVAO DEL NORTE WITH LOT NO. 389-A; B&C UNDER TCT-40718; 309-A UNDER 40719; 390-B UNDER TCT-48636; 390-C UNDER TCT-40704; 391-A TO B UNDER TCT-40647; 391-C UNDER TCT-48635; 391-D UNDER TCT-48637 AND LOT NO. 4923-B EMBRACED BY TCT NOS. T-33314 COVERING AN AREA continue reading : CITY ORDINANCE NO. 13, S-1998"
"CITY ORDINANCE NO. 18, s-1998","“AN ORDINANCE REPEALING MUNICIPAL ORDINANCE NO. 07, s-1992, “AN ORDINANCE DECLARING AS ONE-WAY TRAFFIC SPECIFIED ROADS AROUND THE TAGUM PUBLIC MARKET AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"MUNICIPAL ORDINANCE NO. 05, s-1998","“AN ORDINANCE RECLASSIFYING LOT NO. 2009-A (LRC)-PDS 63149, TITLE NO. 3382 COVERING AN AREA OF SIXTY THOUSAND (60,000.00) SQUARE METERS SITUATED AT LA FILIPINA, TAGUM CITY, DAVAO Del NORTE OWNED BY MRS. MA. CLARA R. RUALES FROM COMMERCIAL TO INSTITUTIONAL ZONE/MEMORIAL PARK AND GARDEN”."
"CITY ORDINANCE NO. 16, s-1998","“AN ORDINANCE AMENDING CERTAIN SECTIONS OF MUNICIPAL ORDINANCE NO. 09, s-1996, “ AN ORDINANCE ESTABLISHING GUIDELINES, STANDARDS, RULES AND REGULATIONS FOR THE MANAGEMENT OF THE TAGUM OVERLAND TRANSPORT INTEGRATED TERMINAL AT STO. NIÑO, BARANGAY MAGUGPO WEST, TAGUM CITY, DAVAO Del NORTE”."
"CITY ORDINANCE NO. 17, s-1998",“AN ORDINANCE ESTABLISHING AND REGULATING A NIGHT MARKET IN THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 08, s-1998","“AN ORDINANCE RECLASSIFYING 8,6176 HECTARES OF LAND WHICH IS A PORTION OF 12,6397 HECTARES COVERED BY TAX DECLARATION NO. 37112, LOT NO. 2146-B OWNED BY CONSORCIO MIRAFUENTES (REPRESENTED BY RICARDO MIRAFUENTES), THE WHOLE AREA OF 12.1154 HECTARES COVERED BY TCT NO. (T-897) T-153, LOT NO. 2145-B OWNED BY MARTINA MIRAFUENTES (REPRESENTED BY MODESTO CABREROS) BOTH continue reading : CITY ORDINANCE NO. 08, s-1998"
"CITY ORDINANCE 42, S-1998","AN ORDINANCE IMPOSING TOLL FEES AND OTHER CHARGES TO ALL JEEPNEYS, VANS, AND CARGO TRUCKS SOLICITING PASSENGERS AND DOING BUSINESS RESPECTIVELY, IN THE CITY OF TAGUM."
"MUNICIPAL ORDINANCE NO. 03, s-1998","“AN ORDINANCE REGULATING ALL PUBLIC UTILITY JEEPNEYS (PUJ) OPERATING AND/OR PLYING WITHIN THE TERRITORIAL JURISDICTION OF THE MUNICIPALITY OF TAGUM, PROVIDING RULES AND REGULATIONS, FEES AND PENALTIES FOR VIOLATIONS THEREOF”."
MUNICIPAL ORDINANCE NO. 04 S-1998,"AN ORDINANCE RECLASSIFYING LOT NO. 443, CAD 276, TITLE NO. P-449 COVERING AN AREA OF TWO HUNDRED SIX THOUSAND THREE HUNDRED SEVEN (206,307) SQUARE METERS OWNED BY MR. GERONIMO DELA CERNA SITUATED AT BARANGAY CUAMBOGAN, TAGUM, DAVAO FROM AGRICULTURAL TO RESIDENTIAL ZONE."
"MUNICIPAL ORDINANCE NO. 01, s-1998",“AN ORDINANCE GRANTING THE 50% AMNESTY ON ALL STALL RENTALS AT THE NEW TAGUM PUBLIC MARKET FROM JULY TO DECEMBER 1997”.
"MUNICIPAL ORDINANCE NO. 21, s-1997","“AN ORDINANCE NAMING THE PORTION OF THE CIRCUMFERENTIAL ROAD FROM THE JUNCTION OF DAVAO-AGUSAN NATIONAL HIGHWAY, CURVADA LEADING TO THE JUNCTION OF DALISAY-GANTE ROAD OF THIS MUNICIPALITY AS FELIX ALFELOR SR. STREET”."
"MUNICIPAL ORDINANCE NO. 04, s-1997",“AN ORDINANCE ENACTING THE TAGUM LIVESTOCK AUCTION CENTER (TLAC) MANAGEMENT OPERATIONS MANUAL.”
"MUNICIPAL ORDINANCE NO. 18, s-1997","“AN ORDINANCE AMENDING SECTIONS 5,6 AND 8 OF MUNICIPAL ORDINANCE NO. 20, S-1996 ENTITLED “AN ORDINANCE ESTABLISHING THE TAGUM PROVINCIAL AGRI-INDUSTRIAL CENTER DEVELOPMENT OFFICE (TPDO) WITH THE COMPOSITION, FUNCTIONS, DUTIES AND RESPONSIBILITIES OF ITS STAFF, AND CORRESPONDING APPROPRIATION”."
"MUNICIPAL ORD. NO. 03, s-1997","“AN ORDINANCE CREATING THE MUNICIPAL FRANCHISING AND REGULATORY BOARD (MFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"MUNICIPAL ORDINANCE NO. 15, s-1997","“AN ORDINANCE RECLASSIFYING LOT NO. 4422 CAD 276 COVERED UNDER TCT NO. T-71380 WITH AN AREA OF 49,733 SQUARE METERS OWNED BY MRS. SABINA BORDIOS SITUATED AT LIBERTAD, BARANGAY CANOCOTAN, TAGUM, DAVAO FROM AGRICULTURAL TO COMMERCIAL ZONE”."
"MUNICIPAL ORDINANCE NO. 13, s-1997","“AN ORDINANCE RECLASSIFYING LOT 1025-D-3-A, PSD-11-009520, BEING A PORTION OF LOT 1025-D-3, PSD-266850 OWNED BY ISIDORO T. UY SITUATED IN BARANGAY MAGDUM, TAGUM, DAVAO, BOUNDED ON THE NE., POINTS 1-2 BY LOT 1025-D-3-B; ON THE SE., POINTS 2-3 BY LOT 375, CAD. 276; ON THE SW., POINTS 3-4 BY LOT 1025-D-2, PSD 266850; ON THE continue reading : MUNICIPAL ORDINANCE NO. 13, s-1997"
"MUNICIPAL ORDINANCE NO. 09, s-1997","“AN ORDINANCE AMENDING SECTION 10 OF MUNICIPAL ORDINANCE NO. 25, S-1996, “AN ORDINANCE PROVIDING POLICIES, RULES AND REGULATIONS TO GOVERN THE TRANSFER, OPERATION, ADMINISTRATION AND MANAGEMENT OF THE NEW TAGUM PUBLIC MARKET AT SITIO STO. NIÑO, MAGUGPO WEST, TAGUM, DAVAO”."
"MUNICIPAL ORDINANCE NO. 08, s-1997","“AN ORDINANCE GRANTING THE APPLICATION OF BONGAO CABLE-TV NETWORKS, INC. A FRANCHISE TO CONSTRUCT, INSTALL, OPERATE AND MAINTAIN FOR COMMERCIAL PURPOSES A CABLE-TV IN THE MUNICIPALITY OF TAGUM”."
"MUNICIPAL ORDINANCE NO. 05, s-1997","“AN ORDINANCE RECLASSIFYING A PORTION OF MACALANGA PROPERTY WITH AN AREA OF EIGHTY SIX THOUSAND FOUR HUNDRED THIRTEEN (86,413) SQUARE METERS ALL COVERED BY OCT NO. P-1898 LOCATED AT MAGDUM, TAGUM, DAVAO FROM AGRICULTURAL TO AGRI-INDUSTRIAL ZONE”."
"MUNICIPAL ORDINANCE NO. 01, S-1997","“AN ORDINANCE CHANGING THE NAME OF CANOCOTAN ELEMENTARY SCHOOL TO HERCULINA L.. EDIG ELEMENTARY SCHOOL LOCATED AT BARANGAY CANOCOTAN, THIS MUNICIPALITY."
"MUNICIPAL ORDINANCE NO. 15, s-1996","“AN ORDINANCE AMENDING ARTICLE 40, SECTION 6, 7 AND 9 OF TAX ORDINANCE NO. 01, s-1992”."
"MUNICIPAL ORDINANCE 24, S-1996","“AN ORDINANCE AMENDING SECTION 11 OF MUN. ORD. NO. 09, S-1996”."
"MUNICIPAL ORDINANCE N0. 21, s-1996","“AN ORDINANCE RECLASSIFYING LOT NO. (T-2471) T-633 AND LOT NO. 4-E, PSD-11-024525 ALL OWNED BY JOSE S. GARCIA SITUATED IN MANKILAM, TAGUM, DAVAO, THE FORMER BEING BOUNDED ON THE LINES 1-3 BY PROPERTY OF PAULINO CALAMBA; ALONG LINES 3-6, BY PROPERTY OF MARIANO BELLO; ALONG LINE 6-7 BY PROPERTY OF AMBROCIO FERIDO; AND ALONG LINE continue reading : MUNICIPAL ORDINANCE N0. 21, s-1996"
"MUNICIPAL ORDINANCE NO. 11, s-1996",“AN ORDINANCE PROHIBITING OPERATORS OF VIDEO GAME MACHINE PARLORS FROM ADMITTING ANY PERSON BELOW 18 YEARS OLD INSIDE THEIR ESTABLISHMENT DURING SCHOOL DAYS”.
"MUNICIPAL ORDINANCE NO. 19, s-1996","“AN ORDINANCE RECLASSIFYING LOT 1025-D-3-A, PSD-11-009520, BEING A PORTION OF LOT 1025-D-3, PSD-266850 OWNED BY ISIDORO T. UY SITUATED IN BARANGAY MAGDUM, TAGUM, DAVAO BOUNDED ON THE NE., POINTS 1-2 BY LOT 1025-D-3-B; ON THE SE., POINTS 2-3 BY LOT 375, CAD. 276, ON THE SW., POINTS 3-4 BY LOT 1025-D-2, PSD 266850, ON THE continue reading : MUNICIPAL ORDINANCE NO. 19, s-1996"
"MUNICIPAL ORDINANCE NO. 09, s-1996","“AN ORDINANCE ESTABLISHING GUIDELINES, STANDARDS, RULES AND REGULATIONS FOR THE MANAGEMENT OF THE TAGUM OVERLAND TRANSPORT INTEGRATED TERMINAL AT STO. NIÑO, BARANGAY MAGUGPO WEST, TAGUM, DAVAO”."
"MUNICIPAL ORDINANCE NO. 22, s-1996","“AN ORDINANCE RECLASSIFYING LOT NO. 4509, CAD 276 OWNED AND MANAGED BY COUNTRYWIDE SHELTERS, INC. SITUATED AT VISAYAN VILLAGE, TAGUM, DAVAO BOUNDED ON THE SE., ALONG LINE 1-2 BY LOT 4514, CAD 276; ON THE S., ALONG LINE 2-3 BY LOT 598, CAD 276, ON THE NW., ALONG LINE 3-4-5 BY ROAD; AND ON THE continue reading : MUNICIPAL ORDINANCE NO. 22, s-1996"
"MUNICIPAL ORDINANCE NO. 12, s-1996","“AN ORDINANCE RECLASSIFYING LOT 7166-B, PSD-11-049296, BEING A PORTION OF LOT 7166, CAD-276 CONTAINING AN AREA OF TWENTY TWO THOUSAND SEVEN HUNDRED NINETY SEVEN (22,979) SQUARE METERS COVERED BY TCT NO. T-120619 LOCATED AT BARANGAY MAGDUM, TAGUM, DAVAO TO MINOR INDUSTRIAL DISTRICT”."
"MUNICIPAL ORDINANCE NO. 13, s-1996","“AN ORDINANCE RECLASSIFYING A PARCEL OF LAND WITH LOT NO. 6259-A PSD-11-029412, CONTAINING AN AREA OF 24,871 SQUARE METERS EMBRACED BY TCT NO. C-358 BOUNDED ON THE N., POINTS 1-2 BY LOT EMBRACED BY TCT NO. C-358 BOUNDED ON THE N., POINTS 1-2 BY LOT 6258, CSD 1378, ON THE SE, POINTS 2-3-4 BY LOT continue reading : MUNICIPAL ORDINANCE NO. 13, s-1996"
"MUNICIPAL ORDINANCE NO. 10, s-1996","“AN ORDINANCE RECLASSIFYING A PORTION OF BARANGAY CUAMBOGAN WITH AN AREA OF ELEVEN THOUSAND FIVE HUNDRED FIFTY FIVE (11,555) SQUARE METERS COVERED BY OCT NO. P-27406 TO MINOR INDUSTRIAL DISTRICT”."
"MUNICIPAL ORDINANCE NO. 04, S-1996",“AN ORDINANCE DECLARING LOT 1 OF THE PRESENT MUNICIPAL HALL SITE FORMERLY USED AS THE SCHOOL SITE AND PTA BUILDING OF THE TAGUM NATIONAL HIGH SCHOOL AS PART AND PARCEL OF THE MUNICIPAL HALL SITE.”
"MUNICIPAL ORDINANCE NO. 25, s-1996","“AN ORDINANCE PROVIDING POLICIES, RULES AND REGULATIONS TO GOVERN THE TRANSFER, OPERATION, ADMINISTRATION AND MANAGEMENT OF THE NEW TAGUM PUBLIC MARKET AT SITIO STO. NIÑO, MAGUGPO WEST, TAGUM, DAVAO”."
"MUNICIPAL ORDINANCE NO. 19, s-1995","“AN ORDINANCE ESTABLISHING THE GUIDELINES IN THE ISSUANCE OF PRELIMINARY APPROVAL AND LOCATIONAL CLEARANCE (PALC), DEVELOPMENT PERMIT, SIMPLE SUBDIVISION, ALTERATION OF PLAN, TEMPORARY USE PERMIT”."
"MUNICIPAL ORDINANCE NO. 22, s-1995",“AN ORDINANCE AUTHORIZING THE SUSPENSION OF USUAL ACTIVITIES AT CERTAIN PORTION OF TAGUM MUNICIPAL PARK AND PLAZA AND PARKING AREA AT THE MUNICIPAL HALL BUILDING AT THE LEFTSIDE OF THE MUNICIPAL ENGINEER’S OFFICE DURING THE DURATION OF THE ANNUAL TOWN FIESTA”.
"MUNICIPAL ORDINANCE NO. 13, s-1995","“AN ORDINANCE REPEALING MUNICIPAL ORDINANCE NO. 41, s-1993 AS AMENDED BY MUNICIPAL ORDINANCE NO. 67, SERIES OF 1993 AND MUNICIPAL ORDINANCE NO. 42, S-1994 “AN ORDINANCE DECLARING THE POLICY OF THE MUNICIPAL GOVERNMENT OF TAGUM TO LIMIT THE NUMBER OF UNITS OF MOTORIZED TRICYCLE FOR HIRE (MCH) OPERATING WITHIN THE MUNICIPALITY OF TAGUM UP TO continue reading : MUNICIPAL ORDINANCE NO. 13, s-1995"
"MUNICIPAL ORDINANCE NO. 08, s-1995","“AN ORDINANCE APPROVING THE NEW SCHEDULE OF MARKET FEES PER SQUARE METER PER STALL PER DAY FOR THE NEW PUBLIC MARKET LOCATED AT STO. NIÑO OF THE MUNICIPALITY OF TAGUM, DAVAO”."
"MUNICIPAL ORDINANCE NO. 06, s-1995","“AN ORDINANCE AMENDING PARAGRAPH 1.2, SECTION 1, ARTICLE IX OF THE REVISED COMPREHENSIVE MUNICIPAL ZONING ORDINANCE OF THE MUNICIPALITY OF TAGUM”."
"MUNICIPAL ORDINANCE NO. 05, s-1995","“AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 76, s-1993 ENTITLED “AN ORDINANCE GRANTING LEADERSHIP ACHIEVEMENT AWARDS TO DESERVING GRADUATING PUPILS/STUDENTS IN THE ELEMENTARY/SECONDARY SCHOOLS IN THE MUNICIPALITY OF TAGUM AND PROVIDING FUNDS FOR THE IMPLEMENTATIO THEREOF”."
"MUNICIPAL ORDINANCE NO. 23, s-1995","“AN ORDINANCE RECLASSIFYING A PORTION OF BARANGAY MAGDUM WITH AN AREA OF 82,637 SQUARE METERS COVERED BY TCT NO. 100706 AND 100707 AND A PORTION OF BARANGAY APOKON WITH AN AREA OF 516,382 SQUARE METERS COVERED BY TCT 19850, AND 19851 ALL OF TAGUM, DAVAO TO RESIDENTIAL ZONE”."
"MUNICIPAL ORDINANCE NO. 26, s-1995","“AN ORDINANCE CREATING THE OFFICE AND POSITION OF THE GENERAL SERVICES OFFICER, PROVIDING FOR HIS COMPENSATION, POWERS AND DUTIES AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”."
"MUNICIPAL ORDINANCE NO. 36, s-1994",“AN ORDINANCE REGULATING THE USE OF OVER-THE-COUNTER DRUGS SUCH AS COUGH PREPARATIONS AND SIMILAR PHARMACEUTICAL PREPARATIONS SUBJECT TO ABUSE AS WELL AS VOLATILE SUBSTANCES AND PRESCRIBING PENALTIES THEREFOR”.
"MUNICIPAL ORDINANCE NO. 56, s-1994",“AN ORDINANCE ESTABLISHING A MUNICIPAL COOPERATIVE DEVELOPMENT COUNCIL”.
"MUNICIPAL ORDINANCE NO. 38, s-1994","“AN ORDINANCE CREATING A FOOD AND DRUG COUNCIL FOR THE MUNICIPALITY OF TAGUM FOR PURPOSES OF FULLY IMPLEMENTING AND ENFORCING THE FOOD AND DRUGS ACT (REV. ADM. CODE, SEC. 1108 – 1129) NARCOTIC DRUGS LAW (RA 953), FOOD, DRUG AND COSMETIC LAW (RA 3720) AND SUCH OTHER LAWS AND ORDINANCES RELATIVE THERETO WHICH MAY HENCEFORTH continue reading : MUNICIPAL ORDINANCE NO. 38, s-1994"
"MUNICIPAL ORDINANCE NO. 58, S-1994","“ AN ORDINANCE AUTHORIZING HON. ARREL R. OLAñO, VICE MAYOR, TO AUGMENT THE SB LEGISLATIVE APPROPRIATION FOR TRAVELLING EXPENSES IN THE AMOUNT OF TWENTY THOUSAND (P20,000.00) ONLY AND THE APPROPRIATION FOR TRAININGS AND SEMINARS IN THE AMOUNT OF TEN THOUSAND (P10,000.00) PESOS ONLY TO BE TAKEN FROM STANDING COMMITTEE FUND.”"
"MUNICIPAL ORDINANCE NO. 55, s-1994","“AN ORDINANCE AMENDING MUN. ORD. NO. 47, s-1994 BY REDUCING THE AMOUNT AUGMENT TO THE APPROPRIATION FOR CONFERENCE & MEETINGS UNDER THE LEGISLATIVE DEPARTMENT TO P15,000.00 AND RETURNING THE P5,000.00 TO THE APPROPRIATION FOR REPAIRS OF GOVERNMENT FACILITIES AND EQUIPMENT OF THE SAME OFFICE”."
"MUNICIPAL ORDINANCE NO. 44, s-1994","“AN ORDINANCE NAMING THE CIRCUMFERENTIAL ROAD STARTING FROM LA FORTUNA-LA FILIPINA ROAD TO CAPITOL ROAD FRONTING THE PROVINCIAL CAPITOL, TO BARANGAY ROAD OF PUROK II AND 10 IN BARANGAY SAN MIGUEL ENDING AT THE BARANGAY ROAD OF PUROK LANZONES IN BARANGAY VISAYAN VILLAGE, TO “CAPITOL CIRCUMFERENTIAL AVENUE”."
"MUNICIPAL ORDINANCE NO. 54, s-1994",“AN ORDINANCE DECLARING THE STREET FROM CORNER BONIFACIO LAPU-LAPU STREETS TO CORNER LAPU-LAPU – ABAD SANTOS STREETS TEMPORARILY CLOSED TO VEHICULAR TRAFFIC DURING THE TAGUM TOWN AND PAROCHIAL FIESTA 1994 PERIOD”.
"MUNICIPAL ORDINANCE NO. 46, s-1994","“AN ORDINANCE AUTHORIZING HONORABLE VICE MAYOR ARREL R. OLANO, TO AUGMENT THE APPROPRIATIONS FOR TRAVELLING EXPENSES AMOUNTING TO P10,000.00 AND FOR TRAINING AND SEMINARS AMOUNTING TO P10,000.00 BOTH UNDER THE VICE MAYOR’S OFFICE TO BE TAKEN FROM THE FUEL AND OIL, COMMUNICATION AND SPARE PARTS UNDER THE SAME OFFICE”."
